stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
21.684299,2535,-158.027542,2535,http://hea.thebus.org/nextbus.asp?s=2535,,,KAMEHAMEHA HWY + 58-165,0,
21.442188,2712,-158.162268,2712,http://hea.thebus.org/nextbus.asp?s=2712,,,HALONA RD + OPP OHEMAUKA PL,0,
21.442586,2713,-158.160101,2713,http://hea.thebus.org/nextbus.asp?s=2713,,,HALONA RD + OPP POHAKEA PL,0,
21.441451,2710,-158.166172,2710,http://hea.thebus.org/nextbus.asp?s=2710,,,HALONA RD + 86-409,0,
21.441858,2711,-158.164008,2711,http://hea.thebus.org/nextbus.asp?s=2711,,,HALONA RD + 86-431,0,
21.446279,2716,-158.158547,2716,http://hea.thebus.org/nextbus.asp?s=2716,,,PUHAWAI RD + 86-318,0,
21.447105,2717,-158.15873,2717,http://hea.thebus.org/nextbus.asp?s=2717,,,PUHAWAI RD + PUUHULU RD,0,
21.442973,2714,-158.157952,2714,http://hea.thebus.org/nextbus.asp?s=2714,,,HALONA RD + PUHAWAI RD,0,
21.444996,2715,-158.158257,2715,http://hea.thebus.org/nextbus.asp?s=2715,,,PUHAWAI RD + 86-334,0,
21.347321,3346,-157.942183,3346,http://hea.thebus.org/nextbus.asp?s=3346,,,CENTER DR + NIMITZ HWY,0,
21.447602,2718,-158.15664,2718,http://hea.thebus.org/nextbus.asp?s=2718,,,PUUHULU RD + 86-631,0,
21.447965,2719,-158.154611,2719,http://hea.thebus.org/nextbus.asp?s=2719,,,PUUHULU RD + HAAMA PL,0,
21.347386,3347,-157.939057,3347,http://hea.thebus.org/nextbus.asp?s=3347,,,CENTER DR + CASEY ST,0,
21.309782,128,-157.860752,128,http://hea.thebus.org/nextbus.asp?s=128,,,S HOTEL ST + BISHOP ST,0,
21.287154,3344,-157.82283,3344,http://hea.thebus.org/nextbus.asp?s=3344,,,DATE ST + KAPIOLANI BL,0,
21.309005,129,-157.859578,129,http://hea.thebus.org/nextbus.asp?s=129,,,S HOTEL ST + ALAKEA ST,0,
21.456122,2671,-158.168491,2671,http://hea.thebus.org/nextbus.asp?s=2671,,,KEPAUALA ST + OPP KANEILIO ST,0,
21.341036,1832,-158.036218,1832,http://hea.thebus.org/nextbus.asp?s=1832,,,RENTON RD + OPP PEPPER ROW ST,0,
